,mae_copy,loss,nmse_train,nmse,mse,mae,lossv,nmse_test,nmsev,msev,maev
1800,3.82998159,0.03724695,0.03724695,0.04682957,8.28396136,1.12846761,0.03714357,0.03714357,0.04670001,8.29560441,1.12458446
1900,3.82845644,0.03597244,0.03597244,0.04539723,7.86840295,1.09567253,0.03586898,0.03586898,0.04526583,7.87917537,1.09173573
2000,3.82891147,0.03480802,0.03480802,0.04408050,7.49306292,1.06476909,0.03470195,0.03470195,0.04394437,7.50297013,1.06074896
2100,3.83129369,0.03374867,0.03374867,0.04286700,7.15372861,1.03743265,0.03364570,0.03364570,0.04273384,7.16305373,1.03349853
2200,3.82988843,0.03277373,0.03277373,0.04175293,6.84400991,1.01175856,0.03266770,0.03266770,0.04161278,6.85255473,1.00761673
2300,3.83021618,0.03187146,0.03187146,0.04071434,6.56058661,0.98818137,0.03176385,0.03176385,0.04057209,6.56843570,0.98393593
2400,3.83104844,0.03444452,0.03444452,0.04358289,8.06819226,1.02047660,0.03433400,0.03433400,0.04343611,8.07522053,1.01611737
2500,3.83177013,0.03367145,0.03367145,0.04276726,7.76757896,1.00264650,0.03356298,0.03356298,0.04262303,7.77412366,0.99829833
2600,3.83328209,0.03290890,0.03290890,0.04192477,7.48539119,0.98424540,0.03279917,0.03279917,0.04178004,7.49138483,0.97983421
2700,3.83393704,0.03216866,0.03216866,0.04108387,7.22204428,0.96608690,0.03206010,0.03206010,0.04093895,7.22764560,0.96169741
2800,3.83444971,0.03146368,0.03146368,0.04027463,6.97678033,0.94871857,0.03135865,0.03135865,0.04013411,6.98218035,0.94447092
2900,3.83429783,0.03079939,0.03079939,0.03950350,6.74730957,0.93207737,0.03069690,0.03069690,0.03936519,6.75246557,0.92791429
3000,3.83516891,0.03016418,0.03016418,0.03876108,6.53241241,0.91578932,0.03006060,0.03006060,0.03861950,6.53716725,0.91153067
3100,3.83593339,0.02956342,0.02956342,0.03805400,6.33105064,0.90037833,0.02946143,0.02946143,0.03791443,6.33556603,0.89616736
3200,3.83771331,0.02899034,0.02899034,0.03737555,6.14155523,0.88554248,0.02888767,0.02888767,0.03723449,6.14575490,0.88126326
3300,3.83851809,0.02844545,0.02844545,0.03673442,5.96333216,0.87120750,0.02834433,0.02834433,0.03659402,5.96731279,0.86696025
3400,3.83916406,0.02792802,0.02792802,0.03611536,5.79541065,0.85784718,0.02782848,0.02782848,0.03597688,5.79922019,0.85366569
3500,3.83828374,0.02744074,0.02744074,0.03553239,5.63685310,0.84509701,0.02734189,0.02734189,0.03539346,5.64046777,0.84092236
3600,3.83943162,0.02697072,0.02697072,0.03497419,5.48681994,0.83259437,0.02687209,0.02687209,0.03483511,5.49022869,0.82841235
3700,3.83993245,0.02652447,0.02652447,0.03443676,5.34484852,0.82077790,0.02642698,0.02642698,0.03429813,5.34806861,0.81660969
3800,3.84081394,0.02609905,0.02609905,0.03392333,5.21032606,0.80936925,0.02600114,0.02600114,0.03378293,5.21335426,0.80515872
3900,3.84028812,0.02569495,0.02569495,0.03344165,5.08250144,0.79860190,0.02559576,0.02559576,0.03329893,5.08530875,0.79431297
4000,3.84054827,0.02530658,0.02530658,0.03297478,4.96080125,0.78817478,0.02521051,0.02521051,0.03283628,4.96356297,0.78401181
4100,3.84111791,0.02493384,0.02493384,0.03252020,4.84496402,0.77813286,0.02483763,0.02483763,0.03238152,4.84754796,0.77393148
4200,3.84105179,0.02457926,0.02457926,0.03208597,4.73466499,0.76874334,0.02448367,0.02448367,0.03194830,4.73709804,0.76453452
4300,3.84134324,0.02423896,0.02423896,0.03167324,4.62943931,0.75968272,0.02414193,0.02414193,0.03153210,4.63167951,0.75539255
4400,3.84111091,0.02392052,0.02392052,0.03130378,4.52975687,0.75094267,0.02382557,0.02382557,0.03116571,4.53193276,0.74674263
4500,3.84049494,0.02360955,0.02360955,0.03092832,4.43376854,0.74264523,0.02351520,0.02351520,0.03078997,4.43582869,0.73844700
4600,3.84135844,0.02331118,0.02331118,0.03056496,4.34189612,0.73458912,0.02321579,0.02321579,0.03042465,4.34380616,0.73033347
4700,3.84162516,0.02302364,0.02302364,0.03021272,4.25379971,0.72675731,0.02292854,0.02292854,0.03007365,4.25562814,0.72253759
4800,3.84209983,0.02274772,0.02274772,0.02987274,4.16928730,0.71944632,0.02265091,0.02265091,0.02972974,4.17092888,0.71510744
4900,3.84154893,0.02247874,0.02247874,0.02954236,4.08802495,0.71216534,0.02238268,0.02238268,0.02939997,4.08957917,0.70783910
5000,3.84120913,0.02221995,0.02221995,0.02922539,4.01009526,0.70512816,0.02212446,0.02212446,0.02908181,4.01156202,0.70078514
5100,3.84080137,0.02196872,0.02196872,0.02891390,3.93499669,0.69824691,0.02187385,0.02187385,0.02877099,3.93638415,0.69391842
5200,3.84070874,0.02172646,0.02172646,0.02861334,3.86277749,0.69151769,0.02163152,0.02163152,0.02847046,3.86406842,0.68717356
5300,3.84126536,0.02149194,0.02149194,0.02832161,3.79319377,0.68501935,0.02139766,0.02139766,0.02817898,3.79440871,0.68068501
5400,3.84110936,0.02126511,0.02126511,0.02804018,3.72617173,0.67867806,0.02117195,0.02117195,0.02789937,3.72734267,0.67440280
5500,3.84113356,0.02104431,0.02104431,0.02776595,3.66155059,0.67256134,0.02095137,0.02095137,0.02762431,3.66263880,0.66827137
5600,3.84204680,0.02082970,0.02082970,0.02749863,3.59909538,0.66646819,0.02073813,0.02073813,0.02735889,3.60015486,0.66223976
5700,3.84136009,0.02062089,0.02062089,0.02723681,3.53880942,0.66058097,0.02052935,0.02052935,0.02709612,3.53978284,0.65631727
5800,3.84223923,0.02042148,0.02042148,0.02698696,3.48066994,0.65498806,0.02032916,0.02032916,0.02684389,3.48153665,0.65065760
5900,3.84200721,0.02278883,0.02278883,0.02935041,4.41388123,0.70050897,0.02269617,0.02269617,0.02920907,4.41456584,0.69622987
6000,3.84245782,0.02283010,0.02283010,0.02949698,4.36854282,0.70489374,0.02273619,0.02273619,0.02935483,4.36900045,0.70060466
